fecha;mes;festivo;npasajeros;intensidad_evento;inten_lluvia;ocupacion_trafico;semana_mes;day_of_week
2015-07-25;7;0;1441;0;0.0;64.0952380952;2;5
2015-07-26;7;0;1112;0;0.1;40.4705882353;2;6
2015-07-27;7;0;2061;0;0.0;75.7580645161;2;0
2015-07-28;7;0;2222;0;0.0;101.692307692;2;1
2015-07-29;7;0;2462;0;0.0;77.6825396825;2;2
2015-07-30;7;0;2343;0;0.0;93.734375;2;3
2015-07-31;7;0;1703;0;0.0;108.615384615;2;4
2015-08-01;8;0;1464;0;0.0;78.4117647059;0;5
2015-08-02;8;0;1272;0;0.0;102.166666667;0;6
2015-08-03;8;0;2138;0;0.0;73.8823529412;0;0
2015-08-04;8;0;2127;0;0.0;78.2941176471;0;1
2015-08-05;8;0;2154;0;0.0;67.2244897959;0;2
2015-08-06;8;0;2048;0;0.0;75.1224489796;0;3
2015-08-07;8;0;1895;0;0.0;84.0;0;4
2015-08-08;8;0;1005;0;0.0;38.3333333333;1;5
2015-08-09;8;0;906;0;0.0;82.4444444444;1;6
2015-08-10;8;0;1701;0;0.0;60.3333333333;1;0
2015-08-11;8;0;1649;0;0.0;56.1290322581;1;1
2015-08-12;8;0;1694;0;0.0;64.4;1;2
2015-08-13;8;0;1739;0;0.0;98.8387096774;1;3
2015-08-14;8;0;1651;0;0.0;58.5957446809;1;4
2015-08-15;8;1;1165;0;0.0;37.3;1;5
2015-08-16;8;0;1058;0;0.0;47.1176470588;1;6
2015-08-17;8;0;1707;0;0.0;72.6923076923;1;0
2015-08-18;8;0;1883;0;0.0;69.2413793103;1;1
2015-08-19;8;0;1848;0;0.0;64.1355932203;1;2
2015-08-20;8;0;2056;0;0.0;60.5294117647;1;3
2015-08-21;8;0;1667;0;0.0;61.5434782609;1;4
2015-08-22;8;0;999;0;0.0;80.5384615385;2;5
2015-08-23;8;0;930;0;0.0;46.3571428571;2;6
2015-08-24;8;0;1665;0;0.0;85.1842105263;2;0
2015-08-25;8;0;2089;0;0.0;65.8695652174;2;1
2015-08-26;8;0;1900;0;0.0;58.8421052632;2;2
2015-08-27;8;0;2186;0;3.3;77.7555555556;2;3
2015-08-28;8;0;2254;0;0.1;78.7611940299;2;4
2015-08-29;8;0;1093;0;0.0;67.3333333333;2;5
2015-08-30;8;0;1204;0;9.1;43.1785714286;2;6
2015-08-31;8;0;2372;0;0.0;91.0701754386;2;0
2015-09-01;9;0;2491;0;0.0;83.7910447761;0;1
2015-09-02;9;0;2399;0;0.0;64.2736842105;0;2
2015-09-03;9;0;2622;0;0.0;88.1785714286;0;3
2015-09-04;9;0;2687;0;0.7;91.1509433962;0;4
2015-09-05;9;0;1766;0;0.0;56.3461538462;0;5
2015-09-06;9;0;1641;0;0.0;56.2363636364;0;6
2015-09-07;9;0;2845;0;0.5;86.0898876404;0;0
2015-09-08;9;0;2991;0;0.0;84.0476190476;1;1
2015-09-09;9;0;2888;0;0.0;0.0;1;2
2015-09-10;9;0;2827;0;0.0;0.0;1;3
2015-09-11;9;0;2715;0;0.0;0.0;1;4
2015-09-12;9;0;2001;0;0.0;0.0;1;5
2015-09-13;9;0;921;0;0.0;0.0;1;6
2015-09-14;9;0;3199;0;0.0;0.0;1;0
2015-09-15;9;0;3112;0;0.9;72.1326530612;1;1
2015-09-16;9;0;2962;0;4.9;79.213592233;1;2
2015-09-17;9;0;3190;0;0.0;86.4285714286;1;3
2015-09-18;9;0;2943;0;0.0;118.987012987;1;4
2015-09-19;9;0;1750;0;0.0;72.2307692308;1;5
2015-09-20;9;0;1561;0;0.0;50.8648648649;1;6
2015-09-21;9;0;3659;0;0.0;91.7433628319;1;0
2015-09-22;9;0;3407;0;0.0;74.5333333333;2;1
2015-09-23;9;0;3766;0;0.0;99.0373134328;2;2
2015-09-24;9;0;3373;0;0.0;89.2551020408;2;3
2015-09-25;9;0;3402;0;0.0;121.193181818;2;4
2015-09-26;9;0;2146;0;0.0;75.5517241379;2;5
2015-09-27;9;0;1515;0;0.0;91.16;2;6
2015-09-28;9;0;3556;0;0.0;70.4834123223;2;0
2015-09-29;9;0;3605;0;0.0;101.127272727;2;1
2015-09-30;9;0;3966;0;0.0;123.480314961;2;2
2015-10-01;10;0;3984;0;0.0;91.9417475728;0;3
2015-10-02;10;0;3297;0;0.0;128.087591241;0;4
2015-10-03;10;0;2195;0;0.0;84.1481481481;0;5
2015-10-04;10;0;1637;0;0.0;55.2105263158;0;6
2015-10-05;10;0;3759;0;6.0;79.0827067669;0;0
2015-10-06;10;0;3885;0;0.0;77.7364341085;0;1
2015-10-07;10;0;4023;0;0.0;86.6949152542;0;2
2015-10-08;10;0;3975;0;0.0;96.9029850746;1;3
2015-10-09;10;0;3774;0;0.0;105.028169014;1;4
2015-10-10;10;0;2328;0;0.0;65.4777777778;1;5
2015-10-11;10;0;1632;0;0.3;46.4444444444;1;6
2015-10-12;10;1;1826;0;0.0;60.8118811881;1;0
2015-10-13;10;0;3729;0;2.4;77.2481203008;1;1
2015-10-14;10;0;4278;0;0.0;82.9465648855;1;2
2015-10-15;10;0;4568;0;0.0;83.71875;1;3
2015-10-16;10;0;4245;0;0.0;107.225225225;1;4
